CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime,CO(GT)_class_t+0,CO(GT)_t+1h,CO(GT)_class_t+1,CO(GT)_t+6h,CO(GT)_class_t+6,CO(GT)_t+12h,CO(GT)_class_t+12,CO(GT)_t+24h,CO(GT)_class_t+24,CO(GT)_t-1h,CO(GT)_t-2h,CO(GT)_t-3h,CO(GT)_roll_mean_3h,CO(GT)_roll_std_3h,CO(GT)_roll_mean_6h,CO(GT)_roll_std_6h,CO(GT)_roll_mean_12h,CO(GT)_roll_std_12h,weekday,month,hour,weekday_sin,weekday_cos,hour_sin,hour_cos
,1011.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,2004-03-11 04:00:00,high,0.7,low,1.7,mid,2.2,mid,,high,0.6,0.9,1.0,,,,,,,3,3,4,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
0.7,1066.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,2004-03-11 05:00:00,low,0.7,low,1.5,mid,2.9,high,0.6,low,,0.6,0.9,,,,,,,3,3,5,0.43388373911755823,-0.900968867902419,0.9659258262890683,0.25881904510252074
0.7,1052.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,2004-03-11 06:00:00,low,1.1,low,1.6,mid,4.8,high,0.8,low,0.7,,0.6,,,,,,,3,3,6,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
1.1,1144.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,2004-03-11 07:00:00,low,2.0,mid,1.9,mid,6.9,high,1.4,low,0.7,0.7,,0.8333333333333334,0.23094010767584836,,,,,3,3,7,0.43388373911755823,-0.900968867902419,0.9659258262890683,-0.25881904510252063
2.0,1333.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,2004-03-11 08:00:00,mid,2.2,mid,2.9,high,6.1,high,4.4,high,1.1,0.7,0.7,1.2666666666666666,0.6658328118479385,,,,,3,3,8,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.49999999999999983
2.2,1351.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,2004-03-11 09:00:00,mid,1.7,mid,2.2,mid,3.9,high,,high,2.0,1.1,0.7,1.7666666666666666,0.5859465277082304,,,,,3,3,9,0.43388373911755823,-0.900968867902419,0.7071067811865476,-0.7071067811865475
1.7,1233.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,2004-03-11 10:00:00,mid,1.5,mid,2.2,mid,1.5,mid,3.1,high,2.2,2.0,1.1,1.9666666666666668,0.25166114784235577,1.4000000000000001,0.6572670690061992,,,3,3,10,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387
1.5,1179.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,2004-03-11 11:00:00,mid,1.6,mid,2.9,high,1.0,low,2.7,high,1.7,2.2,2.0,1.8,0.36055512754639724,1.5333333333333334,0.5609515724790033,,,3,3,11,0.43388373911755823,-0.900968867902419,0.258819045102521,-0.9659258262890682
1.6,1236.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,2004-03-11 12:00:00,mid,1.9,mid,4.8,high,1.7,mid,2.1,mid,1.5,1.7,2.2,1.5999999999999999,0.09999999999999362,1.6833333333333333,0.386867763798777,,,3,3,12,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0
1.9,1286.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,2004-03-11 13:00:00,mid,2.9,high,6.9,high,1.9,mid,2.5,high,1.6,1.5,1.7,1.6666666666666667,0.2081665999466101,1.8166666666666667,0.2639444385977213,,,3,3,13,0.43388373911755823,-0.900968867902419,-0.2588190451025208,-0.9659258262890683
2.9,1371.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,2004-03-11 14:00:00,high,2.2,mid,6.1,high,1.4,low,2.7,high,1.9,1.6,1.5,2.1333333333333333,0.6806859285554036,1.9666666666666668,0.5202563470700441,,,3,3,14,0.43388373911755823,-0.900968867902419,-0.4999999999999998,-0.8660254037844388
2.2,1310.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,2004-03-11 15:00:00,mid,2.2,mid,3.9,high,0.8,low,2.9,high,2.9,1.9,1.6,2.3333333333333335,0.5131601439446871,1.9666666666666668,0.5202563470700441,,,3,3,15,0.43388373911755823,-0.900968867902419,-0.7071067811865471,-0.7071067811865479
2.2,1292.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,2004-03-11 16:00:00,mid,2.9,high,1.5,mid,,high,2.8,high,2.2,2.9,1.9,2.433333333333333,0.4041451884327362,2.0500000000000003,0.5089204259999784,1.7249999999999999,0.6552237646927819,3,3,16,0.43388373911755823,-0.900968867902419,-0.8660254037844384,-0.5000000000000004
2.9,1383.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,2004-03-11 17:00:00,high,4.8,high,1.0,low,0.6,low,2.4,mid,2.2,2.2,2.9,2.4333333333333336,0.4041451884327362,2.283333333333333,0.5269408568963563,1.9083333333333332,0.6501165396692468,3,3,17,0.43388373911755823,-0.900968867902419,-0.9659258262890683,-0.25881904510252063
4.8,1581.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,2004-03-11 18:00:00,high,6.9,high,1.7,mid,0.8,low,3.9,high,2.9,2.2,2.2,3.2999999999999994,1.3453624047073702,2.8166666666666664,1.0534071704078467,2.25,0.9605869417846951,3,3,18,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
6.9,1776.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,2004-03-11 19:00:00,high,6.1,high,1.9,mid,1.4,low,3.7,high,4.8,2.9,2.2,4.866666666666666,2.0008331597945217,3.65,1.855532268649619,2.733333333333333,1.5853495934125492,3,3,19,0.43388373911755823,-0.900968867902419,-0.9659258262890684,0.2588190451025203
6.1,1640.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,2004-03-11 20:00:00,high,3.9,high,1.4,low,4.4,high,6.6,high,6.9,4.8,2.9,5.933333333333333,1.0598742063723077,4.183333333333334,2.0468675254316455,3.0749999999999997,1.8350749303502571,3,3,20,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001
3.9,1313.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,2004-03-11 21:00:00,high,1.5,mid,0.8,low,,high,4.4,high,6.1,6.9,4.8,5.633333333333333,1.5534906930308041,4.466666666666666,1.8228183306810004,3.216666666666667,1.8269862582621659,3,3,21,0.43388373911755823,-0.900968867902419,-0.7071067811865477,0.7071067811865474
1.5,965.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,2004-03-11 22:00:00,mid,1.0,low,,high,3.1,high,3.5,high,3.9,6.1,6.9,3.8333333333333335,2.3007245235649845,4.35,2.0097263495311997,3.1999999999999997,1.8429225801328817,3,3,22,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384
1.0,913.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,2004-03-11 23:00:00,low,1.7,mid,0.6,low,2.7,high,5.4,high,1.5,3.9,6.1,2.1333333333333333,1.5502687938977955,4.033333333333333,2.3963861681011824,3.158333333333333,1.889905400871278,3,3,23,0.43388373911755823,-0.900968867902419,-0.25881904510252157,0.9659258262890681
1.7,1080.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,2004-03-12 00:00:00,mid,1.9,mid,0.8,low,2.1,mid,2.7,high,1.0,1.5,3.9,1.4000000000000001,0.360555127546388,3.516666666666667,2.5285700834002345,3.1666666666666665,1.882615846167886,4,3,0,-0.433883739117558,-0.9009688679024191,0.0,1.0
1.9,1044.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,2004-03-12 01:00:00,mid,1.4,low,1.4,low,2.5,high,1.9,mid,1.7,1.0,1.5,1.5333333333333332,0.4725815626252525,2.683333333333333,1.9477337258123009,3.1666666666666665,1.882615846167886,4,3,1,-0.433883739117558,-0.9009688679024191,0.25881904510252074,0.9659258262890683
1.4,988.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2004-03-12 02:00:00,low,0.8,low,4.4,high,2.7,high,1.6,mid,1.9,1.7,1.0,1.6666666666666667,0.2516611478423429,1.9000000000000001,1.0256705123966474,3.0416666666666665,1.950504985117879,4,3,2,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
0.8,889.0,1.9,574.0,,1680.0,,1187.0,512.0,7.0,62.3,0.6261,2004-03-12 03:00:00,low,,high,,high,2.9,high,1.7,mid,1.4,1.9,1.7,1.3666666666666665,0.5507570547286031,1.383333333333333,0.4167333280008546,2.9250000000000003,2.045005001105243,4,3,3,-0.433883739117558,-0.9009688679024191,0.7071067811865475,0.7071067811865476
,831.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,2004-03-12 04:00:00,high,0.6,low,3.1,high,2.8,high,,high,0.8,1.4,1.9,,,,,,,4,3,4,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
0.6,847.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,2004-03-12 05:00:00,low,0.8,low,2.7,high,2.4,mid,1.0,low,,0.8,1.4,,,,,,,4,3,5,-0.433883739117558,-0.9009688679024191,0.9659258262890683,0.25881904510252074
0.8,927.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,2004-03-12 06:00:00,low,1.4,low,2.1,mid,3.9,high,1.2,low,0.6,,0.8,,,,,,,4,3,6,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
1.4,1091.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,2004-03-12 07:00:00,low,4.4,high,2.5,high,3.7,high,1.5,mid,0.8,0.6,,0.9333333333333332,0.41633319989321727,,,,,4,3,7,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063
4.4,1587.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,2004-03-12 08:00:00,high,,high,2.7,high,6.6,high,2.7,high,1.4,0.8,0.6,2.1999999999999997,1.9287301521985891,,,,,4,3,8,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.49999999999999983
,1545.0,22.1,1353.0,,767.0,,2058.0,1588.0,9.2,56.2,0.6561,2004-03-12 09:00:00,high,3.1,high,2.9,high,4.4,high,3.7,high,4.4,1.4,0.8,,,,,,,4,3,9,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475
3.1,1350.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,2004-03-12 10:00:00,high,2.7,high,2.8,high,3.5,high,3.2,high,,4.4,1.4,,,,,,,4,3,10,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
2.7,1263.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,2004-03-12 11:00:00,high,2.1,mid,2.4,mid,5.4,high,4.1,high,3.1,,4.4,,,,,,,4,3,11,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682
2.1,1206.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,2004-03-12 12:00:00,mid,2.5,high,3.9,high,2.7,high,3.6,high,2.7,3.1,,2.6333333333333333,0.5033222956847071,,,,,4,3,12,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0
2.5,1252.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,2004-03-12 13:00:00,high,2.7,high,3.7,high,1.9,mid,2.8,high,2.1,2.7,3.1,2.4333333333333336,0.30550504633037345,,,,,4,3,13,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890683
2.7,1287.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,2004-03-12 14:00:00,high,2.9,high,6.6,high,1.6,mid,2.0,mid,2.5,2.1,2.7,2.433333333333333,0.30550504633037345,,,,,4,3,14,-0.433883739117558,-0.9009688679024191,-0.4999999999999998,-0.8660254037844388
2.9,1353.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,2004-03-12 15:00:00,high,2.8,high,4.4,high,1.7,mid,2.0,mid,2.7,2.5,2.1,2.6999999999999997,0.19999999999997622,2.6666666666666665,0.3444802848737031,,,4,3,15,-0.433883739117558,-0.9009688679024191,-0.7071067811865471,-0.7071067811865479
2.8,1309.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,2004-03-12 16:00:00,high,2.4,mid,3.5,high,,high,2.5,high,2.9,2.7,2.5,2.8000000000000003,0.09999999999995277,2.6166666666666667,0.2857738033247057,,,4,3,16,-0.433883739117558,-0.9009688679024191,-0.8660254037844384,-0.5000000000000004
2.4,1274.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,2004-03-12 17:00:00,mid,3.9,high,5.4,high,1.0,low,2.3,mid,2.8,2.9,2.7,2.6999999999999997,0.26457513110644115,2.566666666666667,0.29439202887759636,,,4,3,17,-0.433883739117558,-0.9009688679024191,-0.9659258262890683,-0.25881904510252063
3.9,1510.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,2004-03-12 18:00:00,high,3.7,high,2.7,high,1.2,low,3.2,high,2.4,2.8,2.9,3.033333333333333,0.7767453465153968,2.8666666666666667,0.5391351098441538,,,4,3,18,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
3.7,1525.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,2004-03-12 19:00:00,high,6.6,high,1.9,mid,1.5,mid,4.2,high,3.9,2.4,2.8,3.3333333333333335,0.814452781524702,3.066666666666667,0.595538971576729,,,4,3,19,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203
6.6,1843.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,2004-03-12 20:00:00,high,4.4,high,1.6,mid,2.7,high,4.2,high,3.7,3.9,2.4,4.733333333333333,1.6196707484341755,3.716666666666667,1.5223884742951348,,,4,3,20,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001
4.4,1598.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,2004-03-12 21:00:00,high,3.5,high,1.7,mid,3.7,high,4.2,high,6.6,3.7,3.9,4.8999999999999995,1.513274595042152,3.9666666666666663,1.4841383583300676,3.3166666666666664,1.2312841288917065,4,3,21,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474
3.5,1484.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,2004-03-12 22:00:00,high,5.4,high,,high,3.2,high,3.1,high,4.4,6.6,3.7,4.833333333333333,1.594783161854088,4.083333333333333,1.3991664185030557,3.35,1.2302992983970875,4,3,22,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384
5.4,1677.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,2004-03-12 23:00:00,high,2.7,high,1.0,low,4.1,high,2.6,high,3.5,4.4,6.6,4.433333333333334,0.9504384952922111,4.583333333333333,1.1990273836183512,3.5750000000000006,1.3424028659629186,4,3,23,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681
2.7,1280.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,2004-03-13 00:00:00,high,1.9,mid,1.2,low,3.6,high,2.9,high,5.4,3.5,4.4,3.866666666666667,1.3868429375143108,4.383333333333334,1.4162156144693039,3.625,1.2927243958541075,5,3,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
1.9,1196.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,2004-03-13 01:00:00,mid,1.6,mid,1.5,mid,2.8,high,2.8,high,2.7,5.4,3.5,3.3333333333333335,1.8339392937971861,4.083333333333334,1.7428903197466752,3.5750000000000006,1.350504956067781,5,3,1,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683
1.6,1184.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2004-03-13 02:00:00,mid,1.7,mid,2.7,high,2.0,mid,2.5,high,1.9,2.7,5.4,2.066666666666667,0.5686240703077204,3.25,1.473431369287352,3.483333333333333,1.449033115459054,5,3,2,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
1.7,1172.0,5.4,783.0,,1179.0,,1380.0,996.0,7.8,67.5,0.7173,2004-03-13 03:00:00,mid,,high,3.7,high,2.0,mid,2.4,mid,1.6,1.9,2.7,1.7333333333333334,0.1527525231651478,2.8000000000000003,1.4642404174178503,3.3833333333333333,1.5319822769763687,5,3,3,-0.9749279121818236,-0.2225209339563146,0.7071067811865475,0.7071067811865476
,1147.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,2004-03-13 04:00:00,high,1.0,low,3.2,high,2.5,high,,high,1.7,1.6,1.9,,,,,,,5,3,4,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
1.0,978.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,2004-03-13 05:00:00,low,1.2,low,4.1,high,2.3,mid,1.2,low,,1.7,1.6,,,,,,,5,3,5,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
1.2,1100.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,2004-03-13 06:00:00,low,1.5,mid,3.6,high,3.2,high,1.0,low,1.0,,1.7,,,,,,,5,3,6,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
1.5,1112.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,2004-03-13 07:00:00,mid,2.7,high,2.8,high,4.2,high,0.9,low,1.2,1.0,,1.2333333333333334,0.25166114784232885,,,,,5,3,7,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,-0.25881904510252063
2.7,1336.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,2004-03-13 08:00:00,high,3.7,high,2.0,mid,4.2,high,1.4,low,1.5,1.2,1.0,1.8,0.7937253933193684,,,,,5,3,8,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.49999999999999983
3.7,1408.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,2004-03-13 09:00:00,high,3.2,high,2.0,mid,4.2,high,1.6,mid,2.7,1.5,1.2,2.6333333333333333,1.1015141094572143,,,,,5,3,9,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475
3.2,1447.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,2004-03-13 10:00:00,high,4.1,high,2.5,high,3.1,high,2.2,mid,3.7,2.7,1.5,3.2000000000000006,0.4999999999999866,2.216666666666667,1.1338724208069735,,,5,3,10,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387
4.1,1542.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,2004-03-13 11:00:00,high,3.6,high,2.3,mid,2.6,high,2.8,high,3.2,3.7,2.7,3.6666666666666665,0.45092497528227443,2.733333333333333,1.1741663709486259,,,5,3,11,-0.9749279121818236,-0.2225209339563146,0.258819045102521,-0.9659258262890682
3.6,1451.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,2004-03-13 12:00:00,high,2.8,high,3.2,high,2.9,high,2.8,high,4.1,3.2,3.7,3.6333333333333333,0.4509249752822744,3.1333333333333333,0.9309493362512625,,,5,3,12,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0
2.8,1328.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,2004-03-13 13:00:00,high,2.0,mid,4.2,high,2.8,high,2.0,mid,3.6,4.1,3.2,3.5,0.6557438524301897,3.35,0.5468089245796923,,,5,3,13,-0.9749279121818236,-0.2225209339563146,-0.2588190451025208,-0.9659258262890683
2.0,1207.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,2004-03-13 14:00:00,mid,2.0,mid,4.2,high,2.5,high,1.8,mid,2.8,3.6,4.1,2.8000000000000003,0.7999999999999909,3.233333333333334,0.7501111028818773,,,5,3,14,-0.9749279121818236,-0.2225209339563146,-0.4999999999999998,-0.8660254037844388
2.0,1240.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,2004-03-13 15:00:00,mid,2.5,high,4.2,high,2.4,mid,1.9,mid,2.0,2.8,3.6,2.266666666666667,0.46188021535168383,2.9499999999999997,0.8526429498916881,,,5,3,15,-0.9749279121818236,-0.2225209339563146,-0.7071067811865471,-0.7071067811865479
2.5,1306.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,2004-03-13 16:00:00,high,2.3,mid,3.1,high,,high,3.0,high,2.0,2.0,2.8,2.1666666666666665,0.288675134594786,2.8333333333333335,0.8594571930391102,2.525,1.0118614709354414,5,3,16,-0.9749279121818236,-0.2225209339563146,-0.8660254037844384,-0.5000000000000004
2.3,1326.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,2004-03-13 17:00:00,mid,3.2,high,2.6,high,1.2,low,2.9,high,2.5,2.0,2.0,2.266666666666666,0.25166114784232785,2.533333333333333,0.6055300708194984,2.6333333333333333,0.8967956424082487,5,3,17,-0.9749279121818236,-0.2225209339563146,-0.9659258262890683,-0.25881904510252063
3.2,1473.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,2004-03-13 18:00:00,high,4.2,high,2.9,high,1.0,low,2.5,high,2.3,2.5,2.0,2.6666666666666665,0.47258156262524514,2.466666666666667,0.47187568984497036,2.8000000000000003,0.7850882984503311,5,3,18,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16
4.2,1609.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,2004-03-13 19:00:00,high,4.2,high,2.8,high,0.9,low,4.6,high,3.2,2.3,2.5,3.233333333333333,0.9504384952922091,2.6999999999999997,0.8579044235810886,3.025,0.7652985157321415,5,3,19,-0.9749279121818236,-0.2225209339563146,-0.9659258262890684,0.2588190451025203
