CO(GT),NOx(GT),NO2(GT),C6H6(GT)
1.5,74.0,76.0,5.1
0.6,23.0,33.0,1.7
0.4,23.0,33.0,0.7
0.4,17.0,27.0,0.8
0.3,15.0,23.0,0.7
0.6,41.0,46.0,2.0
1.2,86.0,76.0,5.1
3.6,226.0,116.0,17.7
3.7,214.0,115.0,18.4
1.8,115.0,83.0,6.9
1.6,124.0,87.0,7.3
1.9,122.0,90.0,9.6
2.0,107.0,87.0,10.4
2.2,133.0,99.0,11.2
2.1,130.0,99.0,10.7
2.3,150.0,101.0,11.6
2.6,138.0,103.0,12.4
3.8,213.0,129.0,18.3
4.4,232.0,143.0,21.0
4.5,238.0,146.0,21.0
3.3,180.0,124.0,14.5
2.0,128.0,113.0,8.4
1.1,65.0,80.0,4.3
0.9,53.0,72.0,3.8
0.8,47.0,64.0,2.7
0.7,51.0,70.0,2.5
0.5,51.0,70.0,1.2
0.5,20.0,31.0,0.8
0.3,13.0,22.0,0.6
0.5,33.0,47.0,1.8
1.1,103.0,88.0,4.6
3.0,224.0,130.0,14.2
3.8,244.0,132.0,21.0
3.4,237.0,132.0,16.2
3.0,220.0,131.0,15.5
2.7,207.0,129.0,13.4
3.5,208.0,132.0,16.9
2.8,160.0,110.0,12.4
1.9,131.0,99.0,10.1
2.0,128.0,100.0,8.7
3.0,176.0,122.0,13.8
1.9,107.0,97.0,9.3
2.7,131.0,112.0,13.0
3.3,166.0,128.0,14.3
1.7,89.0,101.0,7.6
1.3,81.0,96.0,5.3
1.3,78.0,86.0,5.4
1.2,70.0,85.0,4.9
1.1,76.0,79.0,4.6
0.9,43.0,61.0,2.7
0.6,43.0,61.0,1.6
0.6,44.0,66.0,1.7
0.6,34.0,54.0,1.2
0.8,43.0,57.0,1.7
1.2,79.0,75.0,4.8
3.1,174.0,97.0,13.8
4.4,235.0,110.0,23.7
3.4,218.0,113.0,14.2
1.7,136.0,88.0,8.0
1.5,117.0,85.0,6.7
1.7,119.0,96.0,8.7
2.2,126.0,106.0,10.8
2.2,100.0,91.0,6.7
2.7,197.0,126.0,11.4
2.8,195.0,130.0,13.4
2.7,156.0,111.0,12.0
4.5,247.0,134.0,20.2
3.5,190.0,136.0,14.4
2.6,169.0,125.0,9.4
1.7,118.0,108.0,5.9
1.3,81.0,87.0,4.5
1.3,80.0,89.0,4.5
1.0,42.0,58.0,2.5
0.7,38.0,54.0,1.8
0.7,38.0,54.0,1.4
0.5,18.0,28.0,0.9
0.5,12.0,20.0,0.6
0.6,43.0,51.0,1.4
1.1,84.0,82.0,3.8
2.7,184.0,112.0,11.6
3.5,202.0,119.0,17.8
2.3,133.0,99.0,8.8
1.6,130.0,98.0,6.8
1.3,106.0,88.0,5.9
2.0,132.0,96.0,8.9
1.9,106.0,81.0,8.2
1.9,125.0,92.0,8.6
2.2,138.0,105.0,10.1
2.0,120.0,88.0,9.4
2.9,158.0,103.0,14.6
5.2,253.0,141.0,24.6
4.6,231.0,133.0,21.6
2.5,150.0,119.0,10.3
1.5,99.0,106.0,5.7
1.2,75.0,92.0,4.5
1.7,93.0,97.0,5.5
1.4,79.0,91.0,4.8
1.2,67.0,83.0,3.6
0.6,67.0,83.0,1.7
0.7,45.0,59.0,2.2
0.8,72.0,73.0,3.0
0.9,103.0,78.0,4.0
1.6,132.0,90.0,6.7
3.4,239.0,110.0,16.7
3.8,275.0,114.0,19.3
3.1,232.0,119.0,14.8
2.7,180.0,121.0,13.4
2.0,112.0,97.0,11.0
2.3,116.0,99.0,12.5
1.9,103.0,85.0,8.4
1.3,89.0,75.0,5.3
1.9,112.0,87.0,8.8
2.3,127.0,102.0,11.2
2.4,125.0,105.0,11.6
2.7,120.0,98.0,12.4
2.6,120.0,93.0,10.6
1.5,99.0,91.0,6.0
1.2,79.0,85.0,4.6
1.1,66.0,74.0,4.1
1.5,94.0,87.0,5.2
1.0,70.0,79.0,3.2
1.2,75.0,78.0,4.5
1.1,75.0,78.0,3.8
1.1,57.0,63.0,3.8
0.8,32.0,48.0,1.9
0.9,54.0,59.0,2.4
1.1,68.0,65.0,3.3
1.5,98.0,71.0,6.7
1.8,128.0,84.0,8.5
2.1,129.0,93.0,9.7
2.1,130.0,99.0,9.4
1.9,111.0,93.0,9.0
2.1,106.0,96.0,10.0
2.5,137.0,114.0,12.6
1.9,113.0,101.0,7.6
2.2,122.0,108.0,11.8
2.3,137.0,117.0,11.2
2.7,165.0,125.0,12.4
3.0,196.0,133.0,12.9
2.8,174.0,119.0,12.2
2.2,140.0,107.0,8.8
1.6,102.0,96.0,6.8
2.1,130.0,105.0,8.6
2.3,121.0,102.0,8.9
2.3,111.0,97.0,8.3
1.7,87.0,79.0,6.3
2.2,87.0,79.0,8.3
1.3,77.0,69.0,5.1
0.8,39.0,52.0,2.6
1.1,77.0,62.0,3.6
1.4,91.0,69.0,3.6
1.3,105.0,75.0,4.7
1.9,133.0,83.0,7.5
2.3,128.0,94.0,9.0
2.3,126.0,96.0,9.5
1.8,92.0,86.0,7.7
1.4,66.0,72.0,5.7
1.0,50.0,53.0,3.8
1.4,70.0,65.0,4.8
1.3,73.0,70.0,4.3
1.3,77.0,75.0,4.1
1.4,86.0,86.0,4.7
1.9,93.0,94.0,6.2
1.8,105.0,103.0,5.5
1.1,67.0,81.0,3.3
1.1,63.0,80.0,3.2
1.1,63.0,77.0,2.9
0.9,46.0,58.0,2.2
0.6,21.0,31.0,1.3
0.5,22.0,38.0,1.1
0.7,22.0,38.0,1.3
0.6,39.0,59.0,1.2
0.7,55.0,70.0,1.7
0.9,76.0,75.0,2.9
2.9,181.0,103.0,14.3
4.1,259.0,134.0,19.7
1.5,118.0,98.0,5.5
1.5,119.0,97.0,5.6
1.5,123.0,98.0,5.8
1.4,92.0,78.0,5.5
1.6,91.0,83.0,6.5
1.5,103.0,92.0,5.5
1.4,102.0,81.0,5.2
1.5,94.0,90.0,5.8
1.9,98.0,95.0,7.9
2.5,126.0,114.0,10.2
2.1,108.0,106.0,8.2
1.6,95.0,99.0,5.7
1.2,78.0,90.0,3.8
1.1,61.0,82.0,4.0
1.0,55.0,74.0,2.8
1.0,57.0,76.0,2.6
0.7,41.0,66.0,1.8
0.7,46.0,73.0,1.7
0.8,46.0,73.0,1.4
0.8,41.0,69.0,1.3
0.7,52.0,71.0,2.3
1.1,111.0,98.0,5.3
2.6,191.0,115.0,13.4
4.0,244.0,130.0,23.8
4.2,283.0,150.0,21.5
4.7,320.0,159.0,21.0
3.9,249.0,146.0,18.4
3.7,219.0,138.0,18.9
3.4,200.0,128.0,17.1
2.2,138.0,97.0,10.4
1.9,118.0,91.0,8.0
1.6,99.0,81.0,6.2
2.1,112.0,99.0,9.7
2.2,117.0,101.0,9.6
2.7,129.0,106.0,11.9
2.4,132.0,102.0,8.7
1.3,73.0,84.0,4.7
1.2,68.0,81.0,3.8
1.5,80.0,91.0,4.7
1.3,68.0,82.0,3.8
1.0,44.0,64.0,2.7
0.9,47.0,70.0,2.8
0.5,47.0,70.0,1.0
0.5,15.0,26.0,0.8
0.6,44.0,58.0,1.5
1.0,85.0,93.0,3.5
3.1,207.0,110.0,15.6
4.1,230.0,115.0,19.9
2.2,181.0,125.0,8.6
1.7,144.0,118.0,6.5
1.9,140.0,109.0,7.7
2.9,204.0,123.0,11.3
2.2,149.0,114.0,9.1
2.6,171.0,114.0,11.2
3.1,195.0,119.0,13.5
2.3,152.0,111.0,10.1
2.4,128.0,103.0,11.3
2.8,121.0,103.0,11.8
2.7,142.0,107.0,11.5
2.3,131.0,105.0,9.3
1.5,81.0,91.0,5.5
1.4,60.0,79.0,5.1
1.2,57.0,79.0,4.8
1.6,96.0,86.0,6.3
1.2,85.0,70.0,5.1
1.1,50.0,55.0,4.1
0.9,50.0,55.0,4.0
0.7,57.0,49.0,2.4
0.9,64.0,50.0,2.9
1.7,153.0,67.0,7.4
4.2,342.0,94.0,19.8
6.2,378.0,119.0,31.9
4.6,304.0,139.0,21.0
2.8,192.0,113.0,11.7
1.6,130.0,88.0,6.8
1.7,106.0,73.0,7.4
1.7,102.0,73.0,8.6
1.7,99.0,72.0,8.6
1.9,108.0,81.0,8.6
2.3,131.0,93.0,8.6
3.3,163.0,106.0,16.4
4.2,211.0,132.0,21.2
5.5,267.0,164.0,25.0
4.9,269.0,161.0,20.2
2.5,154.0,124.0,10.8
2.0,127.0,113.0,9.9
2.0,122.0,103.0,8.5
2.0,126.0,104.0,8.0
1.3,84.0,93.0,5.6
1.0,58.0,60.0,3.2
0.9,58.0,60.0,3.3
0.9,37.0,52.0,2.8
0.7,56.0,66.0,2.6
1.1,91.0,82.0,4.3
2.6,159.0,109.0,13.0
3.9,190.0,114.0,20.3
5.0,249.0,139.0,20.7
3.3,196.0,127.0,15.9
2.9,180.0,127.0,14.2
3.1,167.0,135.0,15.9
3.0,159.0,130.0,16.1
2.7,152.0,126.0,14.7
2.7,149.0,121.0,14.0
2.6,143.0,122.0,13.6
3.7,185.0,138.0,19.7
4.5,223.0,165.0,23.3
4.7,215.0,154.0,24.1
5.5,271.0,168.0,25.4
3.0,180.0,146.0,14.1
1.9,115.0,124.0,10.1
2.3,149.0,124.0,12.1
1.6,98.0,106.0,9.0
1.3,73.0,88.0,6.3
1.2,69.0,83.0,5.3
0.9,69.0,83.0,3.8
0.8,60.0,74.0,3.0
0.8,56.0,64.0,3.3
0.9,73.0,69.0,3.5
2.0,159.0,91.0,9.5
3.0,203.0,96.0,15.2
3.1,211.0,106.0,14.3
3.1,211.0,106.0,11.2
3.1,211.0,106.0,11.4
3.1,211.0,106.0,13.4
3.1,211.0,106.0,10.6
3.1,211.0,106.0,10.8
3.1,211.0,106.0,11.9
3.1,211.0,106.0,13.5
3.1,211.0,106.0,15.2
3.1,211.0,106.0,17.1
3.1,211.0,106.0,26.7
3.1,211.0,106.0,14.2
3.1,211.0,106.0,8.5
3.1,211.0,106.0,14.3
3.1,211.0,106.0,9.3
3.1,211.0,106.0,7.8
3.1,211.0,106.0,6.7
3.1,211.0,106.0,5.4
3.1,211.0,106.0,5.6
3.1,211.0,106.0,3.5
3.1,211.0,106.0,3.0
3.1,211.0,106.0,4.4
3.1,211.0,106.0,3.5
3.1,211.0,106.0,4.2
3.1,211.0,106.0,8.0
3.1,211.0,106.0,9.0
3.1,211.0,106.0,8.1
3.1,211.0,106.0,8.6
3.1,211.0,106.0,7.1
3.1,211.0,106.0,5.6
3.1,211.0,106.0,10.0
3.1,211.0,106.0,10.5
3.1,211.0,106.0,10.1
3.1,211.0,106.0,10.0
3.1,211.0,106.0,13.0
3.1,211.0,106.0,10.5
3.1,211.0,106.0,5.2
3.1,211.0,106.0,6.9
3.1,211.0,106.0,6.4
3.1,211.0,106.0,4.7
3.1,211.0,106.0,2.4
3.1,211.0,106.0,2.2
3.1,211.0,106.0,1.1
3.1,211.0,106.0,0.9
3.1,211.0,106.0,3.1
3.1,211.0,106.0,6.2
3.1,211.0,106.0,13.2
3.1,211.0,106.0,25.8
3.1,211.0,106.0,18.2
3.1,236.0,124.0,14.3
3.0,228.0,121.0,13.7
3.2,206.0,114.0,15.7
3.1,188.0,114.0,15.4
2.5,158.0,106.0,12.6
2.1,124.0,89.0,9.8
2.0,98.0,82.0,9.6
3.2,160.0,111.0,16.3
4.1,194.0,132.0,19.8
3.9,174.0,121.0,18.0
3.1,157.0,116.0,13.6
2.0,109.0,100.0,8.7
1.7,85.0,89.0,7.7
1.6,90.0,92.0,7.3
1.0,61.0,71.0,4.1
0.8,36.0,51.0,2.7
0.5,25.0,39.0,1.5
0.5,25.0,39.0,1.9
0.5,24.0,35.0,1.8
0.8,73.0,64.0,3.4
1.7,164.0,94.0,8.5
4.5,329.0,134.0,24.1
6.2,302.0,129.0,33.7
4.4,256.0,125.0,22.0
2.9,182.0,107.0,14.1
1.6,105.0,78.0,7.6
2.6,136.0,91.0,14.5
2.9,167.0,116.0,13.6
2.5,166.0,131.0,11.5
1.9,115.0,113.0,9.2
1.9,109.0,98.0,10.3
2.7,143.0,116.0,14.0
3.0,159.0,120.0,15.0
3.3,181.0,126.0,15.1
3.2,178.0,126.0,14.8
1.8,91.0,90.0,8.5
1.3,76.0,81.0,5.9
1.1,66.0,74.0,4.8
0.9,56.0,67.0,4.0
0.7,35.0,46.0,2.3
0.4,21.0,30.0,1.4
0.3,21.0,30.0,0.7
0.3,12.0,19.0,0.7
0.3,22.0,32.0,0.8
0.8,55.0,61.0,3.6
2.8,152.0,111.0,12.9
3.1,153.0,102.0,15.7
2.3,152.0,116.0,8.6
1.6,112.0,96.0,7.4
1.5,119.0,97.0,6.6
1.6,122.0,110.0,7.8
1.8,115.0,103.0,9.1
1.4,84.0,79.0,6.1
1.9,146.0,104.0,7.5
1.2,65.0,69.0,5.9
2.3,120.0,96.0,12.7
3.3,185.0,121.0,13.5
3.1,157.0,129.0,14.5
3.3,174.0,116.0,11.0
1.2,62.0,71.0,3.2
1.3,81.0,85.0,4.3
1.9,118.0,101.0,7.1
1.4,95.0,97.0,4.8
1.5,84.0,89.0,5.7
1.1,56.0,72.0,4.1
0.8,56.0,72.0,3.3
0.8,43.0,57.0,1.8
0.8,69.0,62.0,2.8
1.1,74.0,64.0,4.8
2.6,161.0,80.0,13.8
5.1,308.0,118.0,27.1
4.2,300.0,130.0,19.1
2.6,189.0,113.0,11.7
2.4,164.0,112.0,12.7
2.1,122.0,96.0,11.3
2.6,166.0,125.0,14.2
2.8,181.0,128.0,13.9
2.5,127.0,101.0,13.2
1.9,106.0,95.0,10.7
3.6,192.0,138.0,19.7
4.6,241.0,154.0,24.0
6.3,326.0,171.0,29.1
4.3,232.0,136.0,15.8
1.6,92.0,93.0,7.0
1.4,95.0,99.0,6.3
2.0,129.0,106.0,6.3
2.4,154.0,109.0,6.3
1.8,118.0,97.0,6.3
1.0,69.0,83.0,6.3
1.0,69.0,83.0,6.3
1.0,97.0,79.0,6.3
0.9,145.0,84.0,6.3
1.5,169.0,86.0,6.3
2.6,250.0,111.0,6.3
2.9,215.0,117.0,6.3
2.7,237.0,122.0,6.3
2.4,190.0,119.0,6.3
2.6,219.0,121.0,6.3
4.1,294.0,127.0,6.3
4.3,253.0,135.0,6.3
2.2,176.0,119.0,6.3
3.4,243.0,137.0,6.3
3.6,214.0,139.0,6.3
2.5,141.0,117.0,6.3
2.8,166.0,127.0,6.3
3.4,197.0,137.0,6.3
3.0,191.0,127.0,6.3
2.1,159.0,107.0,6.3
2.4,175.0,102.0,6.3
2.3,157.0,95.0,8.4
1.3,83.0,79.0,5.4
1.7,118.0,78.0,6.9
1.7,101.0,75.0,6.4
1.0,101.0,75.0,3.6
0.8,46.0,52.0,3.3
1.0,81.0,55.0,4.0
1.4,112.0,65.0,6.0
1.7,150.0,72.0,8.2
2.0,138.0,76.0,9.9
2.0,124.0,84.0,8.8
1.9,124.0,90.0,8.4
2.1,115.0,89.0,7.5
1.8,101.0,87.0,7.8
1.5,90.0,88.0,6.4
1.3,90.0,81.0,5.1
1.4,89.0,89.0,6.9
1.5,92.0,91.0,6.8
1.7,103.0,104.0,7.4
2.0,122.0,111.0,8.7
2.5,159.0,129.0,11.2
2.4,172.0,133.0,10.5
2.0,125.0,115.0,8.2
2.9,187.0,125.0,11.6
2.5,174.0,117.0,9.7
1.4,75.0,84.0,5.1
1.2,48.0,63.0,4.0
1.0,61.0,68.0,3.7
1.0,61.0,68.0,4.0
1.0,38.0,52.0,3.0
0.7,38.0,49.0,2.9
0.8,41.0,49.0,2.9
0.9,51.0,52.0,3.0
1.1,61.0,58.0,3.7
1.0,47.0,51.0,3.9
1.6,87.0,77.0,6.2
1.8,107.0,90.0,7.3
2.6,161.0,118.0,9.2
1.1,61.0,70.0,4.0
0.6,26.0,35.0,2.3
0.9,42.0,46.0,3.1
1.0,55.0,58.0,3.2
1.2,65.0,61.0,3.3
1.4,75.0,80.0,4.0
2.0,93.0,93.0,5.7
1.1,63.0,78.0,3.4
1.1,60.0,76.0,3.5
1.1,63.0,74.0,2.9
1.1,66.0,81.0,3.1
0.7,41.0,58.0,1.6
0.6,42.0,59.0,1.1
0.7,36.0,54.0,2.0
0.6,36.0,54.0,1.7
0.3,16.0,25.0,0.7
0.3,16.0,26.0,0.5
0.4,33.0,49.0,0.7
0.5,39.0,53.0,0.9
0.6,45.0,57.0,1.5
0.8,63.0,73.0,2.2
1.0,71.0,78.0,2.9
1.3,104.0,93.0,3.9
1.1,85.0,71.0,2.8
0.6,53.0,56.0,1.4
0.7,58.0,60.0,1.7
1.2,89.0,77.0,3.6
1.4,96.0,82.0,3.1
1.2,88.0,77.0,3.5
1.3,100.0,91.0,3.9
1.8,127.0,93.0,5.2
1.2,88.0,82.0,3.7
0.8,66.0,74.0,2.7
0.8,61.0,68.0,2.6
0.8,54.0,65.0,2.4
0.7,46.0,58.0,2.0
0.5,25.0,36.0,1.3
0.3,18.0,29.0,1.2
0.4,18.0,29.0,1.3
0.3,21.0,28.0,0.9
0.7,76.0,68.0,3.1
1.6,149.0,99.0,6.9
3.9,328.0,130.0,19.1
4.5,282.0,128.0,22.1
2.7,206.0,120.0,11.8
1.6,133.0,93.0,7.3
1.6,137.0,96.0,8.0
1.6,116.0,84.0,7.2
1.5,112.0,87.0,7.7
1.8,128.0,87.0,9.7
2.1,145.0,103.0,9.8
1.7,110.0,88.0,7.7
3.0,184.0,118.0,15.3
4.6,243.0,134.0,21.5
5.0,259.0,144.0,21.7
3.5,205.0,129.0,14.6
2.1,144.0,108.0,9.3
2.1,152.0,104.0,9.4
1.5,108.0,90.0,6.8
1.1,64.0,74.0,4.9
0.9,73.0,73.0,3.9
0.7,47.0,60.0,2.7
0.4,47.0,60.0,1.9
0.4,45.0,57.0,1.7
0.9,79.0,62.0,3.3
1.6,113.0,71.0,7.4
3.9,263.0,94.0,18.2
5.0,275.0,99.0,27.7
4.3,263.0,119.0,18.3
2.7,183.0,103.0,12.3
2.1,147.0,95.0,8.9
2.1,132.0,95.0,10.4
2.1,132.0,95.0,9.7
2.1,132.0,95.0,12.8
2.1,132.0,95.0,12.9
2.1,132.0,95.0,8.9
2.1,132.0,95.0,11.0
2.1,132.0,95.0,12.6
2.1,132.0,95.0,13.3
2.1,132.0,95.0,18.1
2.1,132.0,95.0,13.0
2.1,132.0,95.0,7.8
2.1,132.0,95.0,5.8
2.1,132.0,95.0,4.7
2.1,132.0,95.0,3.1
2.1,132.0,95.0,2.1
2.1,132.0,95.0,1.7
2.1,132.0,95.0,1.3
2.1,132.0,95.0,2.6
2.1,132.0,95.0,7.9
2.1,132.0,95.0,21.4
2.1,132.0,95.0,22.1
3.9,309.0,114.0,19.1
3.8,327.0,127.0,17.3
3.8,299.0,135.0,17.5
3.9,257.0,135.0,17.0
3.5,195.0,120.0,17.0
4.0,231.0,129.0,19.5
3.0,170.0,114.0,14.8
3.1,192.0,129.0,14.0
5.2,251.0,149.0,24.4
5.9,289.0,149.0,28.1
7.3,351.0,158.0,33.7
6.1,319.0,148.0,24.2
4.6,264.0,134.0,19.8
2.5,144.0,111.0,9.3
2.2,119.0,106.0,7.3
2.0,120.0,108.0,7.1
